timestamp,object,px_widths,px_heights,px_width_changes,px_height_changes,mm_widths,mm_heights,mm_width_changes,mm_height_changes,rostopic_wrenches,rostopic_positions
8876728058,compressed-123,305.99993896484375,105.0,34.69602326663983,-106.69867533816532,-305.99993896484375,-105.0,-34.69602326663983,106.69867533816532,62.1641464233,-0.250727322957
8936748028,compressed-124,306.0,105.0,34.69608430179608,-106.69867533816532,-306.0,-105.0,-34.69608430179608,106.69867533816532,62.1540870667,-0.250637223943
9008559943,compressed-125,305.99993896484375,105.0,34.69602326663983,-106.69867533816532,-305.99993896484375,-105.0,-34.69602326663983,106.69867533816532,61.8999214172,-0.251170388873
9072504998,compressed-126,305.99993896484375,105.0,34.69602326663983,-106.69867533816532,-305.99993896484375,-105.0,-34.69602326663983,106.69867533816532,62.0832519531,-0.251041227185
9139095068,compressed-127,306.0,105.0,34.69608430179608,-106.69867533816532,-306.0,-105.0,-34.69608430179608,106.69867533816532,61.9044570923,-0.251226322005
9202671051,compressed-128,307.99993896484375,105.0,36.69602326663983,-106.69867533816532,-307.99993896484375,-105.0,-36.69602326663983,106.69867533816532,61.6116981506,-0.250565977963
9274796010,compressed-129,306.99993896484375,104.0,35.69602326663983,-107.69867533816532,-306.99993896484375,-104.0,-35.69602326663983,107.69867533816532,62.2532310486,-0.25032129233
9343045950,compressed-130,307.0,104.0,35.69608430179608,-107.69867533816532,-307.0,-104.0,-35.69608430179608,107.69867533816532,62.0717430115,-0.250836825005
9404842139,compressed-131,306.0,103.0,34.69608430179608,-108.69867533816532,-306.0,-103.0,-34.69608430179608,108.69867533816532,61.8608970642,-0.251421323104
9476855040,compressed-132,307.99993896484375,103.0,36.69602326663983,-108.69867533816532,-307.99993896484375,-103.0,-36.69602326663983,108.69867533816532,61.6570472717,-0.250939546036
9536719084,compressed-133,306.99993896484375,102.0,35.69602326663983,-109.69867533816532,-306.99993896484375,-102.0,-35.69602326663983,109.69867533816532,61.6200752258,-0.251382288405
9608677149,compressed-134,305.99993896484375,103.0,34.69602326663983,-108.69867533816532,-305.99993896484375,-103.0,-34.69602326663983,108.69867533816532,61.6725883484,-0.25071692795
9672514916,compressed-135,306.99993896484375,102.0,35.69602326663983,-109.69867533816532,-306.99993896484375,-102.0,-35.69602326663983,109.69867533816532,61.3742599487,-0.25125548512
9739103079,compressed-136,307.0,103.0,35.69608430179608,-108.69867533816532,-307.0,-103.0,-35.69608430179608,108.69867533816532,61.3621406555,-0.250202314989
9802680016,compressed-137,306.0,102.0,34.69608430179608,-109.69867533816532,-306.0,-102.0,-34.69608430179608,109.69867533816532,61.5110626221,-0.250857012719
9874711037,compressed-138,305.99993896484375,102.0,34.69602326663983,-109.69867533816532,-305.99993896484375,-102.0,-34.69602326663983,109.69867533816532,61.5841522217,-0.25056269284
9934740067,compressed-139,305.0,102.0,33.69608430179608,-109.69867533816532,-305.0,-102.0,-33.69608430179608,109.69867533816532,61.8139381409,-0.250852787264
10005936146,compressed-140,306.0,102.0,34.69608430179608,-109.69867533816532,-306.0,-102.0,-34.69608430179608,109.69867533816532,61.9310951233,-0.25091846445
